p0,p1
0|0,0|0
300|0,300|1.30901
-300|0,-300|3.92702
300|0,300|6.54503
-300|0,-300|9.16304
300|0,300|11.781
-300|0,-300|14.3991
300|0,300|17.0171
-300|0,-300|19.6351
300|0,300|22.2531
-300|0,-300|24.8711
300|0,300|27.4891
-300|0,-300|30.1071
300|0,300|32.7251
-300|0,-300|35.3431
300|0,300|37.9612
-300|0,-300|40.5792
300|0,300|43.1972
-300|0,-300|45.8152
300|0,300|48.4332
-300|0,-300|51.0512
300|0,300|53.6692
-300|0,-300|56.2872
300|0,300|58.9052
-300|0,-300|61.5232
300|0,300|64.1413
-300|0,-300|66.7593
300|0,300|69.3773
-300|0,-300|71.9953
300|0,300|74.6133
-300|0,-300|77.2313
300|0,300|79.8493
-300|0,-300|82.4673
300|0,300|85.0853
-300|0,-300|87.7034
300|0,300|90.3214
-300|0,-300|92.9394
300|0,300|95.5574
-300|0,-300|98.1754
300|0,300|100.793
-300|0,-300|103.411
300|0,300|106.029
-300|0,-300|108.647
300|0,300|111.265
-300|0,-300|113.883
300|0,300|116.501
-300|0,-300|119.119
300|0,300|121.737
-300|0,-300|124.355
300|0,300|126.974
-300|0,-300|129.592
300|0,300|132.21
-300|0,-300|134.828
300|0,300|137.446
-300|0,-300|140.064
300|0,300|142.682
-300|0,-300|145.3
300|0,300|147.918
-300|0,-300|150.536
300|0,300|153.154
-300|0,-300|155.772
300|0,300|158.39
-300|0,-300|161.008
300|0,300|163.626
-300|0,-300|166.244
300|0,300|168.862
-300|0,-300|171.48
300|0,300|174.098
-300|0,-300|176.716
300|0,300|179.334
-300|0,-300|181.952
300|0,300|184.57
-300|0,-300|187.188
300|0,300|189.806
-300|0,-300|192.424
300|0,300|195.042
-300|0,-300|197.66
300|0,300|200.278
-300|0,-300|202.896
300|0,300|205.514
-300|0,-300|208.132
300|0,300|210.75
-300|0,-300|213.368
300|0,300|215.986
-300|0,-300|218.604
300|0,300|221.222
-300|0,-300|223.84
300|0,300|226.458
-300|0,-300|229.076
300|0,300|231.694
-300|0,-300|234.312
300|0,300|236.93
-300|0,-300|239.548
300|0,300|242.166
-300|0,-300|244.784
300|0,300|247.402
-300|0,-300|250.02
300|0,300|252.638
-300|0,-300|255.256
300|0,300|257.874
-300|0,-300|260.492
300|0,300|263.11
-300|0,-300|265.728
300|0,300|268.346
-300|0,-300|270.964
300|0,300|273.582
-300|0,-300|276.2
300|0,300|278.818
-300|0,-300|281.436
300|0,300|284.054
-300|0,-300|286.672
300|0,300|289.29
-300|0,-300|291.908
300|0,300|294.526
-300|0,-300|297.144
300|0,300|299.762
-300|0,245.501|300
300|0,-300|297.62
-300|0,300|295.002
300|0,-300|292.384
-300|0,300|289.766
300|0,-300|287.148
-300|0,300|284.53
300|0,-300|281.912
-300|0,300|279.294
300|0,-300|276.676
-300|0,300|274.058
300|0,-300|271.44
-300|0,300|268.822
300|0,-300|266.204
-300|0,300|263.586
300|0,-300|260.968
-300|0,300|258.35
300|0,-300|255.732
-300|0,300|253.114
300|0,-300|250.496
-300|0,300|247.878
300|0,-300|245.26
-300|0,300|242.642
300|0,-300|240.024
-300|0,300|237.406
300|0,-300|234.788
-300|0,300|232.17
300|0,-300|229.552
-300|0,300|226.934
300|0,-300|224.315
-300|0,300|221.697
300|0,-300|219.079
-300|0,300|216.461
300|0,-300|213.843
-300|0,300|211.225
300|0,-300|208.607
-300|0,300|205.989
300|0,-300|203.371
-300|0,300|200.753
300|0,-300|198.135
-300|0,300|195.517
300|0,-300|192.899
-300|0,300|190.281
300|0,-300|187.663
-300|0,300|185.045
300|0,-300|182.427
-300|0,300|179.809
300|0,-300|177.191
-300|0,300|174.573
300|0,-300|171.955
-300|0,300|169.337
300|0,-300|166.719
-300|0,300|164.101
300|0,-300|161.483
-300|0,300|158.865
300|0,-300|156.247
-300|0,300|153.629
300|0,-300|151.011
-300|0,300|148.393
300|0,-300|145.775
-300|0,300|143.157
300|0,-300|140.539
-300|0,300|137.921
300|0,-300|135.303
-300|0,300|132.685
300|0,-300|130.067
-300|0,300|127.449
300|0,-300|124.831
-300|0,300|122.213
300|0,-300|119.595
-300|0,300|116.977
300|0,-300|114.359
-300|0,300|111.741
300|0,-300|109.123
-300|0,300|106.505
300|0,-300|103.887
-300|0,300|101.269
300|0,-300|98.651
-300|0,300|96.033
300|0,-300|93.415
